task_id,record_type,strategy,alpha,one_minus_alpha,alpha_start,alpha_end,schedule,graph_family,n,p,graph_seed,init_id,init_seed,device_seed,initial_parameters,final_parameters,final_cvar_loss,final_mean_ratio,tail_mean_ratio,peak_mean_ratio,best_ratio_so_far,final_optimal_mass,num_init_points,graph_count,mean_peak_ratio,sem_peak_ratio,mean_tail_ratio,sem_tail_ratio,mean_final_ratio,sem_final_ratio,mean_final_cvar_loss,sem_final_cvar_loss,mean_optimal_mass,method,parameter_name,fit_model,fit_formula,a0,a1,a2,a3,weighted_sse,peak_value,tail_value,experiment,shots,steps,number_of_initializations,alpha_grid,optimizer,paired_initial_parameters,paired_device_seeds,identical_optimizer_settings,initialization_base_seed,optimizer_tail_window,optimizer_learning_rate,optimizer_learning_rate_decay_power,optimizer_learning_rate_decay_offset,optimizer_momentum,optimizer_gradient_clip,optimizer_simulator,parameter_mapping,b0,b1,alpha_gamma_relation,peak_parameter,left_curvature,right_curvature,baseline_value
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.35|0,restart,ascending,0.35,0.65,1.0,0.35,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,0.0,20260726.0,730200.0,"[2.226844302927403, 2.7300075029351913, 1.8397074133679914, 2.174662247612199]","[2.149505367467083, 3.007381478893624, 1.6060939698023262, 2.4188826255587146]",1.4914285714285715,0.6116285714285714,0.6155314285714286,0.6256,1.0,0.023,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.35|1,restart,ascending,0.35,0.65,1.0,0.35,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,1.0,20260727.0,730201.0,"[0.4756712476396966, 3.0965837239683074, 2.646028416497059, 1.5012931115137529]","[0.5660269553164138, 2.884364191556089, 1.947286384635613, 2.4180542391637356]",0.0,0.8783428571428571,0.87346,0.8783428571428571,1.0,0.3912,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.35|2,restart,ascending,0.35,0.65,1.0,0.35,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,2.0,20260728.0,730202.0,"[1.9093349559311228, 0.014936831693126611, 0.4604455897891393, 2.9643566316254946]","[2.0213358679306572, 6.282152729794906, 0.7905045822256166, 3.2683148870637018]",1.4588571428571429,0.6178571428571429,0.61604,0.6246571428571429,1.0,0.0261999999999999,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.35|3,restart,ascending,0.35,0.65,1.0,0.35,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,3.0,20260729.0,730203.0,"[0.09601236448568767, 0.01368452041539864, 2.124727888032644, 0.7164215210760676]","[0.5893131908823713, 5.980894078869724, 1.9017399016196275, 0.8704722011752161]",0.0,0.8735428571428573,0.8709657142857143,0.8801428571428572,1.0,0.3798,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.35|4,restart,ascending,0.35,0.65,1.0,0.35,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,4.0,20260730.0,730204.0,"[3.0741951881358056, 2.9261393128026922, 2.13612737908406, 0.2423724789360562]","[2.8460680298155245, 2.488224318487705, 2.0986302622552415, 0.24453894933091214]",0.0,0.8724857142857143,0.8779085714285715,0.8890000000000001,1.0,0.3858,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.5|0,restart,ascending,0.5,0.5,1.0,0.5,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,0.0,20260726.0,730300.0,"[2.226844302927403, 2.7300075029351913, 1.8397074133679914, 2.174662247612199]","[2.1963193332648134, 2.9681905475322963, 1.6433957363475444, 2.4565137208099834]",1.7032000000000012,0.6182285714285715,0.6189571428571429,0.6251714285714286,1.0,0.0243999999999999,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.5|1,restart,ascending,0.5,0.5,1.0,0.5,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,1.0,20260727.0,730301.0,"[0.4756712476396966, 3.0965837239683074, 2.646028416497059, 1.5012931115137529]","[0.4873874047752796, 2.921998169527767, 2.0512801145283768, 2.2876448892662964]",0.2351999999999998,0.8644000000000001,0.8569428571428572,0.8644000000000001,1.0,0.3824,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.5|2,restart,ascending,0.5,0.5,1.0,0.5,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,2.0,20260728.0,730302.0,"[1.9093349559311228, 0.014936831693126611, 0.4604455897891393, 2.9643566316254946]","[2.0307353315790464, 6.223914096744187, 0.7750325041421062, 3.3022657723388846]",1.6899999999999995,0.6210857142857142,0.6169142857142857,0.6261714285714286,1.0,0.0216,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.5|3,restart,ascending,0.5,0.5,1.0,0.5,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,3.0,20260729.0,730303.0,"[0.09601236448568767, 0.01368452041539864, 2.124727888032644, 0.7164215210760676]","[0.6152665782877788, 5.9770711944751485, 1.9544546664274745, 0.86136369907445]",0.2060000000000001,0.8680285714285713,0.8704085714285714,0.8808571428571429,1.0,0.397,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.5|4,restart,ascending,0.5,0.5,1.0,0.5,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,4.0,20260730.0,730304.0,"[3.0741951881358056, 2.9261393128026922, 2.13612737908406, 0.2423724789360562]","[2.804393022421908, 2.506856339919596, 2.0917331575440214, 0.2968781520286627]",0.118,0.8815999999999999,0.8804542857142857,0.8902571428571429,1.0,0.441,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.65|0,restart,ascending,0.65,0.35,1.0,0.65,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,0.0,20260726.0,730400.0,"[2.226844302927403, 2.7300075029351913, 1.8397074133679914, 2.174662247612199]","[2.232075679731367, 2.9401951567707885, 1.653890544666834, 2.456595722730689]",1.9935384615384613,0.6189428571428571,0.6185085714285713,0.6251714285714286,1.0,0.0223999999999999,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.65|1,restart,ascending,0.65,0.35,1.0,0.65,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,1.0,20260727.0,730401.0,"[0.4756712476396966, 3.0965837239683074, 2.646028416497059, 1.5012931115137529]","[0.5610517576118231, 2.8715014242652814, 1.9958170861523008, 2.3728690769517233]",0.392,0.8697428571428573,0.8675,0.8704571428571428,1.0,0.3952,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.65|2,restart,ascending,0.65,0.35,1.0,0.65,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,2.0,20260728.0,730402.0,"[1.9093349559311228, 0.014936831693126611, 0.4604455897891393, 2.9643566316254946]","[2.044472105490415, 6.23332626215687, 0.7308390457729781, 3.3556997008742333]",2.0230769230769234,0.6171142857142858,0.6178971428571428,0.6225142857142857,1.0,0.0249999999999999,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.65|3,restart,ascending,0.65,0.35,1.0,0.65,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,3.0,20260729.0,730403.0,"[0.09601236448568767, 0.01368452041539864, 2.124727888032644, 0.7164215210760676]","[0.6204163746381373, 5.973255499444934, 1.958308506354433, 0.8664352212455894]",0.4015384615384611,0.8702857142857143,0.869737142857143,0.8798,1.0,0.389,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.65|4,restart,ascending,0.65,0.35,1.0,0.65,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,4.0,20260730.0,730404.0,"[3.0741951881358056, 2.9261393128026922, 2.13612737908406, 0.2423724789360562]","[2.806127585639675, 2.5047020789176235, 2.093752456553884, 0.2974512593618002]",0.3390769230769231,0.8787714285714286,0.8792342857142857,0.8898285714285714,1.0,0.4296,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.8|0,restart,ascending,0.8,0.1999999999999999,1.0,0.8,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,0.0,20260726.0,730500.0,"[2.226844302927403, 2.7300075029351913, 1.8397074133679914, 2.174662247612199]","[2.2590879193909252, 2.923376562712082, 1.6868089991421296, 2.459162401746242]",2.19925,0.6209428571428572,0.618517142857143,0.6256,1.0,0.0209999999999999,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.8|1,restart,ascending,0.8,0.1999999999999999,1.0,0.8,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,1.0,20260727.0,730501.0,"[0.4756712476396966, 3.0965837239683074, 2.646028416497059, 1.5012931115137529]","[0.532624733740487, 2.9004049404429955, 2.0078284987456056, 2.3458023417767184]",0.5290000000000002,0.8669428571428571,0.86776,0.8735142857142858,1.0,0.3767999999999999,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.8|2,restart,ascending,0.8,0.1999999999999999,1.0,0.8,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,2.0,20260728.0,730502.0,"[1.9093349559311228, 0.014936831693126611, 0.4604455897891393, 2.9643566316254946]","[2.0272948694876423, 6.12894807819854, 0.8341210664471808, 3.3044118773408346]",2.235250000000002,0.6166,0.6186428571428572,0.6234857142857144,1.0,0.0194,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.8|3,restart,ascending,0.8,0.1999999999999999,1.0,0.8,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,3.0,20260729.0,730503.0,"[0.09601236448568767, 0.01368452041539864, 2.124727888032644, 0.7164215210760676]","[0.614398364520692, 5.982866838793521, 1.949361395199059, 0.8655455982967951]",0.4975000000000002,0.8719428571428571,0.8736914285714287,0.8804000000000001,1.0,0.402,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|0.8|4,restart,ascending,0.8,0.1999999999999999,1.0,0.8,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,4.0,20260730.0,730504.0,"[3.0741951881358056, 2.9261393128026922, 2.13612737908406, 0.2423724789360562]","[2.806008722264892, 2.5001151621161366, 2.094588145581366, 0.29569073026386394]",0.4835,0.8735714285714286,0.8785885714285714,0.8922571428571429,1.0,0.4132,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|1|0,restart,ascending,1.0,0.0,1.0,1.0,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,0.0,20260726.0,730600.0,"[2.226844302927403, 2.7300075029351913, 1.8397074133679914, 2.174662247612199]","[2.2922739894773163, 2.8870846891477524, 1.744181387989747, 2.5121770346902337]",2.6758,0.6177428571428571,0.6201514285714286,0.625057142857143,1.0,0.0202,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
shots=5000|steps=100|sim=lightning.qubit|seed_pairing=common_v2|alpha_start=1|ascending|erdos_renyi|0|1|1,restart,ascending,1.0,0.0,1.0,1.0,linear_descending_alpha,erdos_renyi,8.0,2.0,0.0,1.0,20260727.0,730601.0,"[0.4756712476396966, 3.0965837239683074, 2.646028416497059, 1.5012931115137529]","[0.5611823478089114, 2.888248351169364, 1.9283474040161723, 2.449486916763248]",0.8548,0.8778857142857144,0.8773171428571429,0.8796571428571429,1.0,0.3748,,,,,,,,,,,,,,,,,,,,,,,finite_shot_qaoa_maxcut_cvar,5000,100,5,"[0.1, 0.2, 0.35, 0.5, 0.65, 0.8, 1.0]",Polyak momentum gradient descent,True,True,True,20260726,10,0.18,0.35,6.0,0.7,2.5,lightning.qubit,,,,,,,,
